folder,energy
0,12851.610352
10,199826.000000
20,261886.328125
30,27282.378906
40,965.909424
50,-919.752197
60,-1182.409424
70,-1254.148193
80,-1271.450928
90,-1281.718384
100,-1283.866943
110,-1285.111816
140,-1273.184326
150,-1250.981445
160,-1121.043335
170,-92.140137
200,20425.435547
210,2322.835938
220,-964.931396
230,-1237.547729
240,-1273.519409
250,-1281.600586
280,-1284.818970
290,-1281.670532
300,-1246.439087
310,-1159.786499
320,-1018.689941
330,-1047.999756
340,-1082.981567
350,-87.737183
